epoch,train_loss,val_loss
1,0.19061329478726668,0.16965723782777786
2,0.141375685658525,0.1093743493159612
3,0.09118574222221094,0.07507600386937459
4,0.06788777713389958,0.06106582966943582
5,0.05755435105632333,0.05378676454226176
6,0.05217526688733522,0.049719758331775665
7,0.049059872022446466,0.047490899761517845
8,0.04657891995328314,0.045396254708369575
9,0.04513942264020443,0.04429928089181582
10,0.04373439258950598,0.043028408040603004
11,0.04293943317059208,0.042205968871712685
12,0.042057511670624506,0.0414877999573946
13,0.04139472555150004,0.04092257469892502
14,0.04077703889240237,0.04042644053697586
15,0.040280911633197,0.039901383221149445
16,0.03969427866532522,0.0393560528755188
17,0.03931685065960183,0.03905615210533142
18,0.0388621728429023,0.03872952920695146
19,0.03844145773088231,0.03823234016696612
20,0.038140516180325955,0.03802912806471189
